基金代码,拼音缩写,基金简称,基金类型,拼音全称
000001,HXCZHH,华夏成长混合,混合型-灵活,HUAXIACHENGZHANGHUNHE
000002,HXCZHH,华夏成长混合(后端),混合型-灵活,HUAXIACHENGZHANGHUNHE
000006,XBLDLHCZHHA,西部利得量化成长混合A,混合型-偏股,XIBULIDELIANGHUACHENGZHANGHUNHEA
000011,HXDPJXHHA,华夏大盘精选混合A,混合型-灵活,HUAXIADAPANJINGXUANHUNHEA
000012,HXDPJXHHA,华夏大盘精选混合A(后端),混合型-灵活,HUAXIADAPANJINGXUANHUNHEA
000017,CTKCXHH,财通可持续混合,混合型-偏股,CAITONGKECHIXUHUNHE
000020,JSCCPZTZHHA,景顺长城品质投资混合A,混合型-偏股,JINGSHUNCHANGCHENGPINZHITOUZIHUNHEA
000021,HXYSZZHH,华夏优势增长混合,混合型-偏股,HUAXIAYOUSHIZENGZHANGHUNHE
000029,FGHGCLLHPZHHA,富国宏观策略灵活配置混合A,混合型-灵活,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHEA
000030,CCHXYXHHA,长城核心优选混合A,混合型-灵活,CHANGCHENGHEXINYOUXUANHUNHEA
000031,HXFXHHA,华夏复兴混合A,混合型-偏股,HUAXIAFUXINGHUNHEA
000039,NYGZZHH,农银高增长混合,混合型-偏股,NONGYINGAOZENGZHANGHUNHE
000056,JXXFSJHH,建信消费升级混合,混合型-灵活,JIANXINXIAOFEISHENGJIHUNHE
000057,ZYXFZTHHA,中银消费主题混合A,混合型-偏股,ZHONGYINXIAOFEIZHUTIHUNHEA
000058,GLAATLHPZHHA,国联安安泰灵活配置混合A,混合型-灵活,GUOLIANANANTAILINGHUOPEIZHIHUNHEA
000061,HXSSHH,华夏盛世混合,混合型-偏股,HUAXIASHENGSHIHUNHE
000063,CSDZXXZTHHA,长盛电子信息主题混合A,混合型-灵活,CHANGSHENGDIANZIXINXIZHUTIHUNHEA
000065,GFJDQDHHA,国富焦点驱动混合A,混合型-灵活,GUOFUJIAODIANQUDONGHUNHEA
000066,NAHXHHA,诺安鸿鑫混合A,混合型-偏股,NUOANHONGXINHUNHEA
000072,HAWJHBHHA,华安稳健回报混合A,混合型-灵活,HUAANWENJIANHUIBAOHUNHEA
000073,MGCZDLHHA,摩根成长动力混合A,混合型-灵活,MOGENCHENGZHANGDONGLIHUNHEA
000082,JSYJAEFGPA,嘉实研究阿尔法股票A,股票型,JIASHIYANJIUAERFAGUPIAOA
000083,HTFXFHYHH,汇添富消费行业混合,混合型-偏股,HUITIANFUXIAOFEIHANGYEHUNHE
000117,GFLDPZHH,广发轮动配置混合,混合型-偏股,GUANGFALUNDONGPEIZHIHUNHE
