净值日期,单位净值,日增长率
2011-09-21,1.0,0.0
2011-09-23,1.0,0.0
2011-09-30,1.0001,0.01
2011-10-14,1.0005,0.04
2011-10-21,1.0007,0.02
2011-10-27,0.9998,-0.0899
2011-10-28,1.0051,0.5301
2011-10-31,1.0107,0.5572
2011-11-01,1.0106,-0.0099
2011-11-02,1.0251,1.4348
2011-11-03,1.0225,-0.2536
2011-11-04,1.0267,0.4108
2011-11-07,1.0289,0.2143
2011-11-08,1.0146,-1.3898
2011-11-09,1.0352,2.0304
2011-11-10,1.0238,-1.1012
2011-11-11,1.0187,-0.4981
2011-11-14,1.0385,1.9437
2011-11-15,1.0475,0.8666
2011-11-16,1.0245,-2.1957
2011-11-17,1.0306,0.5954
2011-11-18,1.0084,-2.1541
2011-11-21,1.0051,-0.3273
2011-11-22,1.0072,0.2089
2011-11-23,1.0093,0.2085
2011-11-24,1.0119,0.2576
2011-11-25,1.0078,-0.4052
2011-11-28,1.0138,0.5954
2011-11-29,1.0192,0.5326
2011-11-30,0.9849,-3.3654
2011-12-01,0.9957,1.0966
2011-12-02,0.989,-0.6729
2011-12-05,0.9745,-1.4661
2011-12-06,0.9723,-0.2258
2011-12-07,0.973,0.072
2011-12-08,0.9741,0.1131
2011-12-09,0.9726,-0.154
2011-12-12,0.9701,-0.257
2011-12-13,0.9651,-0.5154
2011-12-14,0.962,-0.3212
2011-12-15,0.9583,-0.3846
2011-12-16,0.9646,0.6574
2011-12-19,0.9683,0.3836
2011-12-20,0.9666,-0.1756
2011-12-21,0.9581,-0.8794
2011-12-22,0.9605,0.2505
2011-12-23,0.9621,0.1666
2011-12-26,0.958,-0.4262
2011-12-27,0.9471,-1.1378
2011-12-28,0.9453,-0.1901
2011-12-29,0.9452,-0.0106
2011-12-30,0.9539,0.9204
2011-12-31,0.9539,0.0
2012-01-04,0.9422,-1.2265
2012-01-05,0.9256,-1.7618
2012-01-06,0.926,0.0432
2012-01-09,0.9431,1.8467
2012-01-10,0.9606,1.8556
2012-01-11,0.9611,0.0521
2012-01-12,0.9561,-0.5202
2012-01-13,0.9421,-1.4643
2012-01-16,0.9263,-1.6771
2012-01-17,0.9387,1.3387
2012-01-18,0.9173,-2.2797
2012-01-19,0.9201,0.3052
2012-01-20,0.9242,0.4456
2012-01-30,0.9181,-0.66
2012-01-31,0.9185,0.0436
2012-02-01,0.9127,-0.6315
2012-02-02,0.923,1.1285
2012-02-03,0.9283,0.5742
2012-02-06,0.9305,0.237
2012-02-07,0.9187,-1.2681
2012-02-08,0.9384,2.1443
2012-02-09,0.9399,0.1598
2012-02-10,0.9434,0.3724
2012-02-13,0.9467,0.3498
2012-02-14,0.9457,-0.1056
2012-02-15,0.9541,0.8882
2012-02-16,0.9489,-0.545
2012-02-17,0.9456,-0.3478
2012-02-20,0.9475,0.2009
2012-02-21,0.955,0.7916
2012-02-22,0.9662,1.1728
2012-02-23,0.9665,0.031
2012-02-24,0.9761,0.9933
2012-02-27,0.9759,-0.0205
2012-02-28,0.9732,-0.2767
2012-02-29,0.9618,-1.1714
2012-03-01,0.9683,0.6758
2012-03-02,0.9836,1.5801
2012-03-05,0.9857,0.2135
2012-03-06,0.9803,-0.5478
2012-03-07,0.9731,-0.7345
2012-03-08,0.983,1.0174
2012-03-09,0.9939,1.1089
2012-03-12,0.9974,0.3521
2012-03-13,1.007,0.9625
2012-03-14,0.9648,-4.1907
2012-03-15,0.9558,-0.9328
2012-03-16,0.9767,2.1866
2012-03-19,0.9886,1.2184
2012-03-20,0.9638,-2.5086
2012-03-21,0.9618,-0.2075
2012-03-22,0.9605,-0.1352
2012-03-23,0.9422,-1.9053
2012-03-26,0.9415,-0.0743
2012-03-27,0.9396,-0.2018
2012-03-28,0.8989,-4.3316
2012-03-29,0.8832,-1.7466
2012-03-30,0.8817,-0.1698
2012-03-31,0.8817,0.0
2012-04-05,0.9065,2.8127
2012-04-06,0.9153,0.9708
2012-04-09,0.9049,-1.1362
2012-04-10,0.9176,1.4035
2012-04-11,0.922,0.4795
2012-04-12,0.9393,1.8764
2012-04-13,0.9452,0.6281
2012-04-16,0.947,0.1904
2012-04-17,0.9338,-1.3939
2012-04-18,0.9552,2.2917
2012-04-19,0.9556,0.0419
2012-04-20,0.9623,0.7011
2012-04-23,0.9512,-1.1535
2012-04-24,0.9459,-0.5572
2012-04-25,0.9543,0.888
2012-04-26,0.9526,-0.1781
2012-04-27,0.945,-0.7978
2012-05-02,0.9539,0.9418
2012-05-03,0.9598,0.6185
2012-05-04,0.9705,1.1148
2012-05-07,0.9769,0.6595
2012-05-08,0.977,0.0102
2012-05-09,0.9611,-1.6274
2012-05-10,0.963,0.1977
2012-05-11,0.9552,-0.81
2012-05-14,0.9507,-0.4711
2012-05-15,0.9515,0.0841
2012-05-16,0.9398,-1.2296
2012-05-17,0.9574,1.8727
2012-05-18,0.9414,-1.6712
2012-05-21,0.9441,0.2868
2012-05-22,0.9612,1.8112
2012-05-23,0.9632,0.2081
2012-05-24,0.9574,-0.6022
2012-05-25,0.9471,-1.0758
2012-05-28,0.9623,1.6049
2012-05-29,0.9757,1.3925
2012-05-30,0.9784,0.2767
2012-05-31,0.98,0.1635
2012-06-01,0.9779,-0.2143
2012-06-04,0.9496,-2.894
2012-06-05,0.9455,-0.4318
2012-06-06,0.9428,-0.2856
2012-06-07,0.9384,-0.4667
2012-06-08,0.9354,-0.3197
2012-06-11,0.9497,1.5288
2012-06-12,0.9436,-0.6423
2012-06-13,0.9588,1.6109
2012-06-14,0.9472,-1.2098
2012-06-15,0.945,-0.2323
2012-06-18,0.9543,0.9841
2012-06-19,0.9466,-0.8069
2012-06-20,0.9429,-0.3909
2012-06-21,0.9283,-1.5484
2012-06-25,0.8995,-3.1024
2012-06-26,0.8993,-0.0222
2012-06-27,0.8958,-0.3892
2012-06-28,0.8902,-0.6251
2012-06-29,0.903,1.4379
2012-06-30,0.903,0.0
2012-07-02,0.9139,1.2071
2012-07-03,0.9129,-0.1094
2012-07-04,0.9104,-0.2739
2012-07-05,0.8973,-1.4389
2012-07-06,0.918,2.3069
2012-07-09,0.9129,-0.5556
2012-07-10,0.9044,-0.9311
2012-07-11,0.9127,0.9177
2012-07-12,0.9239,1.2271
2012-07-13,0.9242,0.0325
2012-07-16,0.9019,-2.4129
2012-07-17,0.9045,0.2883
2012-07-18,0.9008,-0.4091
2012-07-19,0.9026,0.1998
2012-07-20,0.9002,-0.2659
2012-07-23,0.893,-0.7998
2012-07-24,0.8965,0.3919
2012-07-25,0.8901,-0.7139
2012-07-26,0.8851,-0.5617
2012-07-27,0.874,-1.2541
2012-07-30,0.86,-1.6018
2012-07-31,0.8501,-1.1512
2012-08-01,0.8622,1.4234
2012-08-02,0.8613,-0.1044
2012-08-03,0.8769,1.8112
2012-08-06,0.895,2.0641
2012-08-07,0.8947,-0.0335
2012-08-08,0.8931,-0.1788
2012-08-09,0.9075,1.6124
2012-08-10,0.9086,0.1212
2012-08-13,0.8941,-1.5959
2012-08-14,0.8962,0.2349
2012-08-15,0.89,-0.6918
2012-08-16,0.8821,-0.8876
2012-08-17,0.8792,-0.3288
2012-08-20,0.8846,0.6142
2012-08-21,0.8978,1.4922
2012-08-22,0.8945,-0.3676
2012-08-23,0.8991,0.5143
2012-08-24,0.8861,-1.4459
2012-08-27,0.8649,-2.3925
2012-08-28,0.8689,0.4625
2012-08-29,0.8631,-0.6675
2012-08-30,0.8485,-1.6916
2012-08-31,0.8501,0.1886
2012-09-03,0.8637,1.5998
2012-09-04,0.8577,-0.6947
2012-09-05,0.8633,0.6529
2012-09-06,0.869,0.6603
2012-09-07,0.8906,2.4856
2012-09-10,0.8932,0.2919
2012-09-11,0.8901,-0.3471
2012-09-12,0.893,0.3258
2012-09-13,0.8821,-1.2206
2012-09-14,0.8778,-0.4875
2012-09-17,0.8546,-2.643
2012-09-18,0.8551,0.0585
2012-09-19,0.8626,0.8771
