fund_code,report_period,stock_count,granularity
000001,2023年1季度股票投资明细,11,top50_or_partial
000001,2023年2季度股票投资明细,170,full_stock_holdings
000001,2023年3季度股票投资明细,10,top10_only
000001,2023年4季度股票投资明细,185,full_stock_holdings
000001,2024年1季度股票投资明细,10,top10_only
000001,2024年2季度股票投资明细,174,full_stock_holdings
000001,2024年3季度股票投资明细,10,top10_only
000001,2024年4季度股票投资明细,175,full_stock_holdings
000409,2023年1季度股票投资明细,12,top50_or_partial
000409,2023年2季度股票投资明细,271,full_stock_holdings
000409,2023年3季度股票投资明细,10,top10_only
000409,2023年4季度股票投资明细,350,full_stock_holdings
000409,2024年1季度股票投资明细,10,top10_only
000409,2024年2季度股票投资明细,104,full_stock_holdings
000409,2024年3季度股票投资明细,10,top10_only
000409,2024年4季度股票投资明细,86,full_stock_holdings
000409,2025年1季度股票投资明细,10,top10_only
000409,2025年2季度股票投资明细,123,full_stock_holdings
000409,2025年3季度股票投资明细,10,top10_only
000409,2025年4季度股票投资明细,89,full_stock_holdings
000697,2023年1季度股票投资明细,11,top50_or_partial
000697,2023年2季度股票投资明细,109,full_stock_holdings
000697,2023年3季度股票投资明细,11,top50_or_partial
000697,2023年4季度股票投资明细,122,full_stock_holdings
000697,2024年1季度股票投资明细,12,top50_or_partial
000697,2024年2季度股票投资明细,106,full_stock_holdings
000697,2024年3季度股票投资明细,10,top10_only
000697,2024年4季度股票投资明细,86,full_stock_holdings
000697,2025年1季度股票投资明细,14,top50_or_partial
000697,2025年2季度股票投资明细,85,full_stock_holdings
000697,2025年3季度股票投资明细,10,top10_only
000697,2025年4季度股票投资明细,52,full_stock_holdings
000978,2023年1季度股票投资明细,10,top10_only
000978,2023年2季度股票投资明细,516,full_stock_holdings
000978,2023年3季度股票投资明细,10,top10_only
000978,2023年4季度股票投资明细,629,full_stock_holdings
000978,2024年1季度股票投资明细,10,top10_only
000978,2024年2季度股票投资明细,862,full_stock_holdings
000978,2024年3季度股票投资明细,10,top10_only
000978,2024年4季度股票投资明细,1114,full_stock_holdings
000978,2025年1季度股票投资明细,10,top10_only
000978,2025年2季度股票投资明细,1307,full_stock_holdings
000978,2025年3季度股票投资明细,10,top10_only
000978,2025年4季度股票投资明细,1550,full_stock_holdings
001071,2023年1季度股票投资明细,31,top50_or_partial
001071,2023年2季度股票投资明细,157,full_stock_holdings
001071,2023年3季度股票投资明细,30,top50_or_partial
001071,2023年4季度股票投资明细,206,full_stock_holdings
001071,2024年1季度股票投资明细,28,top50_or_partial
001071,2024年2季度股票投资明细,81,full_stock_holdings
001071,2024年3季度股票投资明细,22,top50_or_partial
001071,2024年4季度股票投资明细,84,full_stock_holdings
001071,2025年1季度股票投资明细,23,top50_or_partial
001071,2025年2季度股票投资明细,101,full_stock_holdings
001071,2025年3季度股票投资明细,18,top50_or_partial
001071,2025年4季度股票投资明细,92,full_stock_holdings
001480,2023年1季度股票投资明细,10,top10_only
001480,2023年2季度股票投资明细,111,full_stock_holdings
001480,2023年3季度股票投资明细,13,top50_or_partial
001480,2023年4季度股票投资明细,129,full_stock_holdings
001480,2024年1季度股票投资明细,12,top50_or_partial
001480,2024年2季度股票投资明细,58,full_stock_holdings
001480,2024年3季度股票投资明细,10,top10_only
001480,2024年4季度股票投资明细,42,top50_or_partial
001480,2025年1季度股票投资明细,10,top10_only
001480,2025年2季度股票投资明细,53,full_stock_holdings
001480,2025年3季度股票投资明细,12,top50_or_partial
001480,2025年4季度股票投资明细,44,top50_or_partial
001810,2023年1季度股票投资明细,15,top50_or_partial
001810,2023年2季度股票投资明细,145,full_stock_holdings
001810,2023年3季度股票投资明细,18,top50_or_partial
001810,2023年4季度股票投资明细,188,full_stock_holdings
001810,2024年1季度股票投资明细,16,top50_or_partial
001810,2024年2季度股票投资明细,151,full_stock_holdings
001810,2024年3季度股票投资明细,16,top50_or_partial
001810,2024年4季度股票投资明细,127,full_stock_holdings
001810,2025年1季度股票投资明细,10,top10_only
001810,2025年2季度股票投资明细,74,full_stock_holdings
001810,2025年3季度股票投资明细,10,top10_only
001810,2025年4季度股票投资明细,56,full_stock_holdings
001938,2023年1季度股票投资明细,40,top50_or_partial
001938,2023年2季度股票投资明细,217,full_stock_holdings
001938,2023年3季度股票投资明细,26,top50_or_partial
001938,2023年4季度股票投资明细,143,full_stock_holdings
001938,2024年1季度股票投资明细,20,top50_or_partial
001938,2024年2季度股票投资明细,149,full_stock_holdings
001938,2024年3季度股票投资明细,21,top50_or_partial
001938,2024年4季度股票投资明细,158,full_stock_holdings
001938,2025年1季度股票投资明细,22,top50_or_partial
001938,2025年2季度股票投资明细,152,full_stock_holdings
001938,2025年3季度股票投资明细,21,top50_or_partial
001938,2025年4季度股票投资明细,124,full_stock_holdings
002939,2023年1季度股票投资明细,10,top10_only
002939,2023年2季度股票投资明细,16,top50_or_partial
002939,2023年3季度股票投资明细,12,top50_or_partial
002939,2023年4季度股票投资明细,18,top50_or_partial
002939,2024年1季度股票投资明细,10,top10_only
002939,2024年2季度股票投资明细,18,top50_or_partial
002939,2024年3季度股票投资明细,10,top10_only
002939,2024年4季度股票投资明细,28,top50_or_partial
002939,2025年1季度股票投资明细,16,top50_or_partial
002939,2025年2季度股票投资明细,39,top50_or_partial
002939,2025年3季度股票投资明细,15,top50_or_partial
002939,2025年4季度股票投资明细,36,top50_or_partial
003095,2023年1季度股票投资明细,58,full_stock_holdings
003095,2023年2季度股票投资明细,203,full_stock_holdings
003095,2023年3季度股票投资明细,39,top50_or_partial
003095,2023年4季度股票投资明细,201,full_stock_holdings
003095,2024年1季度股票投资明细,43,top50_or_partial
003095,2024年2季度股票投资明细,114,full_stock_holdings
003095,2024年3季度股票投资明细,31,top50_or_partial
003095,2024年4季度股票投资明细,141,full_stock_holdings
003095,2025年1季度股票投资明细,43,top50_or_partial
003095,2025年2季度股票投资明细,142,full_stock_holdings
003095,2025年3季度股票投资明细,27,top50_or_partial
003095,2025年4季度股票投资明细,130,full_stock_holdings
004851,2023年1季度股票投资明细,21,top50_or_partial
004851,2023年2季度股票投资明细,78,full_stock_holdings
004851,2023年3季度股票投资明细,21,top50_or_partial
004851,2023年4季度股票投资明细,85,full_stock_holdings
004851,2024年1季度股票投资明细,20,top50_or_partial
004851,2024年2季度股票投资明细,92,full_stock_holdings
004851,2024年3季度股票投资明细,21,top50_or_partial
004851,2024年4季度股票投资明细,84,full_stock_holdings
004851,2025年1季度股票投资明细,16,top50_or_partial
004851,2025年2季度股票投资明细,100,full_stock_holdings
004851,2025年3季度股票投资明细,15,top50_or_partial
004851,2025年4季度股票投资明细,83,full_stock_holdings
005267,2023年1季度股票投资明细,12,top50_or_partial
005267,2023年2季度股票投资明细,24,top50_or_partial
005267,2023年3季度股票投资明细,14,top50_or_partial
005267,2023年4季度股票投资明细,24,top50_or_partial
005267,2024年1季度股票投资明细,13,top50_or_partial
005267,2024年2季度股票投资明细,20,top50_or_partial
005267,2024年3季度股票投资明细,14,top50_or_partial
005267,2024年4季度股票投资明细,18,top50_or_partial
005267,2025年1季度股票投资明细,11,top50_or_partial
005267,2025年2季度股票投资明细,16,top50_or_partial
005267,2025年3季度股票投资明细,11,top50_or_partial
005267,2025年4季度股票投资明细,19,top50_or_partial
005827,2023年1季度股票投资明细,11,top50_or_partial
005827,2023年2季度股票投资明细,90,full_stock_holdings
005827,2023年3季度股票投资明细,11,top50_or_partial
005827,2023年4季度股票投资明细,101,full_stock_holdings
005827,2024年1季度股票投资明细,12,top50_or_partial
005827,2024年2季度股票投资明细,57,full_stock_holdings
005827,2024年3季度股票投资明细,13,top50_or_partial
005827,2024年4季度股票投资明细,41,top50_or_partial
005827,2025年1季度股票投资明细,12,top50_or_partial
005827,2025年2季度股票投资明细,42,top50_or_partial
005827,2025年3季度股票投资明细,12,top50_or_partial
005827,2025年4季度股票投资明细,54,full_stock_holdings
006228,2023年1季度股票投资明细,18,top50_or_partial
006228,2023年2季度股票投资明细,147,full_stock_holdings
006228,2023年3季度股票投资明细,14,top50_or_partial
006228,2023年4季度股票投资明细,142,full_stock_holdings
006228,2024年1季度股票投资明细,13,top50_or_partial
006228,2024年2季度股票投资明细,77,full_stock_holdings
006228,2024年3季度股票投资明细,16,top50_or_partial
006228,2024年4季度股票投资明细,81,full_stock_holdings
006228,2025年1季度股票投资明细,15,top50_or_partial
006228,2025年2季度股票投资明细,93,full_stock_holdings
006228,2025年3季度股票投资明细,17,top50_or_partial
